Activity,Median duration from prior activity (minutes),Bottleneck type,Interpretation
Submission Received,,Entry,Student upload enters the flow
Formula Check,2880,Waiting,Staggered arrivals create a queue before the formula check begins
Visual / Presentation Review,23,Active bottleneck,Manual formula and logic checking against the rubric
Feedback Approved,7,Human judgment,Visual and presentation review remains instructor-owned
Feedback Returned,4,Return,Standard formula comments plus individualized feedback are returned
